TYPE,is_impl,INSTR,instr_type,opcode/func,b_src,fu_type,fu_op,ext_type,rd_sel,a_src,de_special,Bit_25_21,Bit_20_16,Bit_15_11,Bit_10_6,Bit_5_0
ALU,1,ADD,SPECIAL,100000,REG,ALU,ALU_ADD_OV,X,RD,RS,X,X,X,X,00000,100000
,1,ADDU,SPECIAL,100001,REG,ALU,ALU_ADD,X,RD,RS,X,X,X,X,00000,100001
,1,ADDI,COMMON,1000,IMM,ALU,ALU_ADD_OV,SIGN,RT,RS,X,X,X,X,X,X
,1,ADDIU,COMMON,1001,IMM,ALU,ALU_ADD,SIGN,RT,RS,X,X,X,X,X,X
,1,SUB,SPECIAL,100010,REG,ALU,ALU_SUB_OV,X,RD,RS,X,X,X,X,00000,100010
,1,SUBU,SPECIAL,100011,REG,ALU,ALU_SUB,X,RD,RS,X,X,X,X,00000,100011
,1,AND,SPECIAL,100100,REG,ALU,ALU_AND,X,RD,RS,X,X,X,X,00000,100100
,1,ANDI,COMMON,1100,IMM,ALU,ALU_AND,ZERO,RT,RS,X,X,X,X,X,X
,1,OR,SPECIAL,100101,REG,ALU,ALU_OR,X,RD,RS,X,X,X,X,00000,100101
,1,ORI,COMMON,1101,IMM,ALU,ALU_OR,ZERO,RT,RS,X,X,X,X,X,X
,1,XOR,SPECIAL,100110,REG,ALU,ALU_XOR,X,RD,RS,X,X,X,X,00000,100110
,1,XORI,COMMON,1110,IMM,ALU,ALU_XOR,ZERO,RT,RS,X,X,X,X,X,X
,1,NOR,SPECIAL,100111,REG,ALU,ALU_NOR,X,RD,RS,X,X,X,X,00000,100111
,1,SLT,SPECIAL,101010,REG,ALU,ALU_SLT,X,RD,RS,X,X,X,X,00000,101010
,1,SLTU,SPECIAL,101011,REG,ALU,ALU_SLTU,X,RD,RS,X,X,X,X,00000,101011
,1,SLTI,COMMON,1010,IMM,ALU,ALU_SLT,SIGN,RT,RS,X,X,X,X,X,X
,1,SLTIU,COMMON,1011,IMM,ALU,ALU_SLTU,SIGN,RT,RS,X,X,X,X,X,X
,1,SLL,SPECIAL,0,REG,ALU,ALU_SLL,X,RD,SA,X,00000,X,X,X,000000
,1,SLLV,SPECIAL,100,REG,ALU,ALU_SLL,X,RD,RS,X,X,X,X,00000,000100
,1,SRL,SPECIAL,10,REG,ALU,ALU_SRL,X,RD,SA,X,00000,X,X,X,000010
,1,SRLV,SPECIAL,110,REG,ALU,ALU_SRL,X,RD,RS,X,X,X,X,00000,000110
,1,SRA,SPECIAL,11,REG,ALU,ALU_SRA,X,RD,SA,X,00000,X,X,X,000011
,1,SRAV,SPECIAL,111,REG,ALU,ALU_SRA,X,RD,RS,X,X,X,X,00000,000111
,1,LUI,COMMON,1111,IMM,ALU,ALU_LUI,X,RT,X,X,00000,X,X,X,X
branch,1,BGEZAL,REGIMM,10001,X,BRU,BRU_BGEZAL,X,31,RS,X,X,10001,X,X,X
,1,BLTZAL,REGIMM,10000,X,BRU,BRU_BLTZAL,X,31,RS,X,X,10000,X,X,X
,1,BEQ,COMMON,100,REG,BRU,BRU_BEQ,X,X,RS,X,X,X,X,X,X
,1,BGEZ,REGIMM,1,X,BRU,BRU_BGEZ,X,X,RS,X,X,00001,X,X,X
,1,BGTZ,COMMON,111,X,BRU,BRU_BGTZ,X,X,RS,X,X,00000,X,X,X
,1,BLEZ,COMMON,110,X,BRU,BRU_BLEZ,X,X,RS,X,X,00000,X,X,X
,1,BLTZ,REGIMM,0,X,BRU,BRU_BLTZ,X,X,RS,X,X,00000,X,X,X
,1,BNE,COMMON,101,REG,BRU,BRU_BNE,X,X,RS,X,X,X ,X,X,X
jump,1,J,COMMON,10,X,BRU,BRU_J,X,X,X,X,X,X,X,X,X
,1,JAL,COMMON,11,X,BRU,BRU_JAL,X,31,X,X,X,X,X,X,X
,1,JALR,SPECIAL,1001,X,BRU,BRU_JALR,X,RD,RS,X,X,00000,X,00000,001001
,1,JR,SPECIAL,1000,X,BRU,BRU_JR,X,X,RS,X,X,00000,00000,00000,001000
mul/div,1,MUL,SPECIAL2,10,REG,MDU,MDU_MUL,X,RD,RS,X,X,X,X,00000,000010
,1,MULT,SPECIAL,11000,REG,MDU,MDU_MULT,X,HILO,RS,X,X,X,00000,00000,011000
,1,MULTU,SPECIAL,11001,REG,MDU,MDU_MULTU,X,HILO,RS,X,X,X,00000,00000,011001
,1,DIV,SPECIAL,11010,REG,MDU,MDU_DIV,X,HILO,RS,X,X,X,00000,00000,011010
,1,DIVU,SPECIAL,11011,REG,MDU,MDU_DIVU,X,HILO,RS,X,X,X,00000,00000,011011
,1,MFHI,SPECIAL,10000,X,MDU,MDU_MFHI,X,RD,HI,X,00000,00000,X,00000,010000
,1,MTHI,SPECIAL,10001,X,MDU,MDU_MTHI,X,HI,RS,X,X,00000,00000,00000,010001
,1,MFLO,SPECIAL,10010,X,MDU,MDU_MFLO,X,RD,LO,X,00000,00000,X,00000,010010
,1,MTLO,SPECIAL,10011,X,MDU,MDU_MTLO,X,LO,RS,X,X,00000,00000,00000,010011
load/store,1,LB,COMMON,100000,X,LSU,LSU_LB,SIGN,RT,RS,X,X,X,X,X,X
,1,LBU,COMMON,100100,X,LSU,LSU_LBU,SIGN,RT,RS,X,X,X,X,X,X
,1,LH,COMMON,100001,X,LSU,LSU_LH,SIGN,RT,RS,X,X,X,X,X,X
,1,LHU,COMMON,100101,X,LSU,LSU_LHU,SIGN,RT,RS,X,X,X,X,X,X
,1,LW,COMMON,100011,X,LSU,LSU_LW,SIGN,RT,RS,X,X,X,X,X,X
,1,SB,COMMON,101000,REG,LSU,LSU_SB,SIGN,X,RS,X,X,X,X,X,X
,1,SH,COMMON,101001,REG,LSU,LSU_SH,SIGN,X,RS,X,X,X,X,X,X
,1,SW,COMMON,101011,REG,LSU,LSU_SW,SIGN,X,RS,X,X,X,X,X,X
,1,LWL,COMMON,100010,X,LSU,LSU_LWL,SIGN,RT,RS,X,X,X,X,X,X
,1,LWR,COMMON,100110,X,LSU,LSU_LWR,SIGN,RT,RS,X,X,X,X,X,X
,1,SWL,COMMON,101010,REG,LSU,LSU_SWL,SIGN,X,RS,X,X,X,X,X,X
,1,SWR,COMMON,101110,REG,LSU,LSU_SWR,SIGN,X,RS,X,X,X,X,X,X
system,1,MFC0,COP0,0,X,ALU,ALU_MFC0,X,RT,CP0,X,00000,X,X,00000,000xxx
,1,MTC0,COP0,100,REG,ALU,ALU_MTC0,X,RD,X,X,00100,X,X,00000,000xxx
,1,ERET,COP0,10000,X,BRU,BRU_ERET,X,X,CP0_EPC,ERET,10000,00000,00000,00000,011000
trap,1,SYSCALL,SPECIAL,1100,X,BRU,X,X,X,X,SYSCALL,X,X,X,X,001100
,1,BREAK,SPECIAL,1101,X,BRU,X,X,X,X,BREAK,X,X,X,X,001101
extra,1,MOVN,SPECIAL,1011,REG,ALU,ALU_MOVN,X,RD,RS,X,X,X,X,00000,001011
,1,MOVZ,SPECIAL,1010,REG,ALU,ALU_MOVZ,X,RD,RS,X,X,X,X,00000,001010
